State/UT,crimeRate
Andhra Pradesh,222199
Arunachal Pradesh,3039
Assam,133239
Bihar,282083
Chhattisgarh,110633
Goa,2991
Gujarat,731738
Haryana,206431
Himachal Pradesh,18833
Jharkhand,60765
Karnataka,163697
Kerala,524960
Madhya Pradesh,475918
Maharashtra,540800
Manipur,3204
Meghalaya,3428
Mizoram,3196
Nagaland,1478
Odisha,155420
Punjab,73581
Rajasthan,284569
Sikkim,728
Tamil Nadu,756753
Telangana,158809
Tripura,4788
Uttar Pradesh,608082
Uttarakhand,34875
West Bengal,181821
A&N Islands,1332
Chandigarh,2995
D&N Haveli and Daman & Diu,579
Delhi,306389
Jammu and Kashmir,31675
Ladakh,559
Lakshadweep,128
Puducherry,4595
