city, monumentName,domesticVT,foreignVT
Agra,Taj Mahal,3294611,38922
Agra,Agra Fort,1027462,13598
Agra,Fatehpur Sikri,157253,2122
Agra,Akbar Tomb Sikandra,187182,1028
Agra,Mariam tomb Sikandra,17537,98
Agra,Itimad-ud-Daulah Tomb,90711,1927
Agra,Ram Bagh,30965,95
Agra,Mehtab Bagh,86213,1653
Agra,Mausoleum,317653,643
Lucknow,Site of Sahet mahet,51796,306
Lucknow,Residency Building,111829,130
Lucknow,Piprahwa & Ganwaria,23153,101
Jhansi,Gupta Temple & Varah Temple Deogarh,1636,4
Jhansi,Kalinjar Fort,88603,7
Jhansi,Rani Lakshmi Bai Mahal,310233,58
Jhansi,Rani Jhansi Fort,10836,15
Sarnath,Lord Cornwallis Tomb,7086,14
Sarnath,Old Fort (Shahi Fort) Jaunpur,123344,201
Sarnath,Observatory of Man Singh,36267,28
Sarnath,Excavated Remains at sarnath,328684,1617
Sarnath,Tomb of Lal Khan,2515,4
Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,21997,91
Thrissur,Bekal Fort Pallikkare Distt. Kasargod,200127,133
Thrissur,Mattancherry Palace Museum Kochi,65066,1118
Thrissur,Fort Palakkad Palakkad,96142,10
Thrissur,Fort St. Angelo Kannur,152543,59
Chennai,Group of Monuments Mamallapuram,1142150,144984
Chennai,Gingee Fort Gingee,188496,10483
Chennai,Tiger headed Rock cut temple & two other monuments Saluvankuppam,81313,25579
Thiruchirapalli,Fort on Rock Dindigual,27368,4073
Thiruchirapalli,Moovarkoil Kodumbalur,829,161
Thiruchirapalli,Rock-cut Jain Temple Sittannavasasl,44408,5432
Thiruchirapalli,Tirumalai Nayak's Palace Srivilliputhur,530,82
Thiruchirapalli,Natural Caven with inscription eladipattam Sittannavasal,22800,2589
Thiruchirapalli,Fort Museum Thirumayam,62622,8422
Thiruchirapalli,Fort Vattakottai,53200,9174
Bhopal,Buddhist Caves,27260,1
Bhopal,The palace situated in the fort Burhanpur,31284,76
Bhopal,Hoshang Shah's Tomb,113132,107
Bhopal,Group of monument Royal Palace Mandu,344821,92
Bhopal,Roopmati's Pavilion,336231,55
Bhopal,Buddhist Monuments Sanchi,118208,171
Bhopal,Gwalior Fort,203163,209
Bhopal,Buddhist cave no 01 to 51 Dhamnar Tehsil Garoth,24083,65
Bhopal,Badal Mahal Gatwway Chanderi,11027,6
Bhopal,Caves 1 to 20 Udaygiri Vidisha,35530,42
Bhopal,Bir Singh Palace Datia,26306,29
Jabalpur,Ancient Site and Adamgrah rock shelter Kalamdi Rasuliya and kishanpur,18655,41
Jabalpur,Western Group of Temples Khajuraho,243475,795
Jabalpur,Group of Temple Parameshvar shiv and Karan Temple Amarkantak,30981,133
Dharwad,Durga temple complx Aihole,98363,69
Dharwad,Jaina & Vaishnava Cave Badami,234156,199
Dharwad,Group of Monuments (WH) Pattadakal,157634,79
Dharwad,Gol Gumbaz Vijayapura,447627,263
Dharwad,Ibrahim Rauza Bijapur,102094,20
Dharwad,Temples & Sculpture Shed lakkumdi,8067,273
Hampi,Group of Monuments Hampi,425950,1244
Hampi,Bellary Fort,17263,15
Banglore,Dariya Daulath Bagh,142935,891
Banglore,Keshava Temple,75793,662
Banglore,Palace of Tipu Sultan,100193,976
Banglore,Fortress and Temple Chitrudurga Fort,210483,819
Raiganj,Cooch Bihar Palace,228176,162
Raiganj,Hazarduari Palace,357127,167
Kolkata,Bishnupur Temples,111814,222
Kolkata,Metcelf-Hall,7812,36
Rajkot,Asokan Rock Edict Jungadh,31685,27
Rajkot,Buddhish Caves Junagadh,0,0
Rajkot,Baba Pyara Caves Junagadh & Khapra Khodiya Caves Junagadh,2715,6
Vadodara,Champaner Monuments Pavagadh,61303,43
Vadodara,Sun temple Modhera,224982,603
Vadodara,Rani Ki-Vav Patan,268628,228
Vadodara,Rudabai Step Well Adalaj,267707,522
